text,label
"Diejenigen, die Opfer von modernen Sklaverei in Wales sind, müssen unbedingt durch die fettttt",0
Lord Strathclyde has been replaced as the Lord of the Lords leader in the House of Lords.,1
"Eine ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houve",0
Trainer Jessica Harrington celebrated her first success in the Irish Grand National when favourite Our Duke won Monday's big race at Fairyhouse.,0
European and US stock markets fell despite talks on bailout deals between Cyprus and the EU.,1
Oxfordshire councils will be created if they are deemed to be deemed to be deemed to be deemed to be deemed,1
will examine the gender pay gap in Scotland and how tackling it could boost the economy.,0
Caroline Wozniacki will try to win her first title of 2017. Caroline Wozniacki will try to win her first,0
Motta has been linked with the club's relegation from the League One table with the club.,1
police have shot two crocodiles dead in a search for missing 12-year-old boy attacked by a cro,0
"Chile is one of the world's worst wildfires, and one of the world's worst wildfires.",1
", fire and prison services in Northern Ireland has been completely redrawn. A planned state-of-the-art joint training college",0
Indian Express has been banned from the Indian Air Force for violating a law that bans airline employees from using a slipper.,1
"Police have searched a garden and garden of a vulnerable woman in Inverclyde, County Tyrone.",1
Australian police have said they have contacted the man who asked them to change his mugshot.,1
"Chancellor's plight is a pity, as he is a pity, as he is",1
"E3 is the world's biggest gaming convention for gamers, and gaming experts say it will be a huge milestone in the future.",1
Afghanistan's President said the group of men accused of gang raping his wife would be brought to justice.,1
"Venezuela's baseball season should be cancelled because of a crisis, says a coach.",1
"'s father says he is ""less optimistic"" about his son's recovery.",0
"art, 2016 has been a year of adabes, in Northern Ireland and across the globe.",0
a primary school in north Belfast was left outside the gates of a primary school. Police have said a bomb left outside the,0
Hundreds of people are being urged to take extra care as temperatures in the city are rising.,1
"Tata said it would close its two plants in the Scottish Borders, and said it would close its two plants in the Scottish Borders.",1
Gwent Police officers to become the first in England and Wales to be trained on the danger of people who stalk their ex-partners.,0
between 16 and 21 would get a 66% discount on bus travel in England under lib dem plans outlined by Nick Cle,0
South Africa bowled England out for 101 in the first Test against England in the first Test.,1
Nick Gubbins scored his first Middlesex century as their batsmen closed down Somerset's commanding total at Lord's,0
"A killer condition linked to 1,500 deaths every year in Wales has been linked to 1,500 deaths every year in Wales, new research suggests.",1
Gloucester beat the French in the first leg of a three-year tournament to reach a second European Challenge Cup final.,1
Sir Vince Cable has said it is a good idea to buy Tata Steel in the UK.,1
Crewe Alexandra has agreed to sign Rashford on loan for the first time since January,1
Ghana's narcotics ministry said it would close its headquarters as the Ebola outbreak continues.,1
Andy Fordham has been hopeful of a chance to play in the BDO World Championships.,1
"Eine weiterebildung college in Dorset hat erhielt mehr als £2,88m an staatlich funding für die Renovierung der Gebäude in",0
"Dougie Brown, manager of cricket in Warwickshire, has left Edgbaston after 27-years in the club",0
court has sentenced a senior BJP party member to 28 years in jail for her part in the 2002 murder of 97 people in,0
"Chris Coleman hat es geschafft, Wales manager Chris Coleman would find it very difficult to refuse a job in the premier league,",0
Steven Mullaney scored a hat-trick in the opening day of the 2016 season as he was beaten by Surrey in,1
"Eoin Morgan hat England inspiriert, um ihre best one-day international run chase against Australia zu setzen. England level",0
"Toyota hat gesagt, dass es sich für ein Team von Ingenieuren ausspricht, die eine volante Fahrzeugentwicklung entwickeln",0
"Wimbledon will play on the middle Sunday in the first match since 2004, but will be unable to play on the middle Sunday.",1
"Allerdings sind sich die Parteien einig, dass eines hat die Parteien.",0
"Labour will keep its election promises despite uncertainty over Brexit but cuts to some services are inevitable, the first minister warned.",1
have carried out the first synthetic organ transplant in the world. Surgeons in Sweden have carried out the world's first synthetic organ,0
"the city of New Orleans. A vehicle has driven into a crowd at a mardi Gras parade, leaving 28 people",0
Portsmouth defender Jack Whatmough has signed a new two-year deal with the club.,1
Russell Martin wants the team to be brave when they travel to Metz to face France on Saturday.,1
"United States universities will be offering fully accredited undergraduate courses online within five years, according to co-founder of a US online university network.",1
planes in the saudi-led coalition have bombed a special forces camp in the capital of yemen,0
Die ehemalige brasilianische Präsident Dilma Rousseff hat ihre offizielle Wohnsitz in Brasilia letzten,0
"Many European countries are witnessing electoral gains for far-right and nationalist parties, though they span a wide political spectrum.",1
"Eine Campagne wurde gestartet, um die Kinderheime des explorer Gertrude Bell zu retten.",0
Labour MPs have resigned following Jeremy Corbyn's resignation from the shadow whips.,1
"Despite its name, the idea of a ""virtual doctor"" project might sound rather futuristic.",1
the man who apparently jumped from a building has been referred to the Independent Police Complaints Commission.,0
Ben Stokes says he has grown up as his side prepare to start their one-day series against west Indies in Antigua on,0
Hundreds of people were evacuated from the O2 Arena in London after a fire broke out in the city.,1
Tony Blair was convicted of treason and sentenced to death by police in November.,1
"Ivan Rakitic hat einen neuen Vertrag mit Barcelonas england international vereinbart, der ihn bis 2021 an die spanischen",0
"Magnus Carlsen of Norway hat beim World Chess Championship drittenmal in Folge gewonnen, nachdem er dem russisch",0
"Die Mitglieder des Europäischen Parlaments haben sich für gemeinsame industrielle Maßnahmen ausgesprochen, wenn ""attacks"" auf Arbeitsplätze, Pensionen",0
Querer multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational multinational,0
A study published in Nature's Nature journal published in the journal Nature's Nature journal published in the journal Nature's Nature journal published in,1
A woman stabbed to death in the woods in the town was pronounced dead at the scene.,1
"Freddie Prinze, the world's oldest poppy seller, celebrates his 100th birthday on Sunday.",1
Garda (Irish police) investigating the disappearance of a man in Dublin almost 17 years ago have begun fresh searches.,0
"the level of violence has ""risen sharply"" at Bristol Prison, with not ""enough being done to protect some vulnerable prisoners"",",0
lets claim fourth consecutive Pro12 success with a bonus-point win over Cardiff Blues at the Arms Park.,0
Un homme a été tué dans un blaze à Oxford.,0
Hundreds of supporters have voted in favour of a decision to rent the Olympic Stadium to West Ham United,1
"Ein Schiff, ein Koffin und eine Sauerstoff tank waren die items, die man zu recyclieren nimmt, nach Surrey County",0
Holyrood's council council tax committee has backed plans to raise council tax for the highest bands.,0
"A motorcyclist died in a car crash on the A4 in North Yorkshire, County Tyrone.",1
Lebanese man who is accused of attempting to kidnap their children has said he will not drop charges.,1
election is probably the last thing the public want to hear about after what we've gone through. But the parties at the assembly are,0
Nigeria's Assat Oshoala has left the Chinese side to join Chinese side Dalian Quanjian.,1
"Finales FA Cup might be one of football's most glamorous occasions, but what is the competition really like in its early stages?",0
"Hotel Federation hat gefordert, dass eine richtige Tourismusstrategie in Nordirland verfolgt wird, um das Wachstum in diesen Bereichen zu",0
Donald Trump hat einen Mehrmillionen-Dollar-Klage gegen Univision eingelegt.,0
Police have issued a fine for people who walk more than four dogs at a time in the town.,1
Pembrokeshire councillors have voted to begin a fourth consultation on education in Haverfordwest.,1
"Eine UN-Konferenz, die darauf abzielt, die Verbreitung nuklearer arme zu verhindern, hat sche",0
s main parties are expected to hold talks with the pm in Downing Street on Thursday.,0
"Dow Jones closed higher for the fifth day, the longest winning streak since October, and the longest winning streak since October.",1
A man who died during a shooting at a pool party has been named as Ricardo Hunter.,1
"Paul Allen, co-founder of Microsoft, announced plans to launch unmanned rockets.",0
"Aberdeenshire's salmon producer reported a third-quarter loss in the first quarter of last year, the company said.",1
"Die Polizei in Italien hat l'ancien Gouverneur de l'État de Tamaulipas, Tomás",0
"Hat der Zeitpunkt gekommen, um, wie die Regierung die Pensionsverpflichtungen gebrochen hat, so Paul Johnson, der Direktor",0
A school sweetheart has been married to her for three days before her death in a hospital.,1
A £8m project to replace a £8m water project has been withdrawn.,1
"Former Secretary of State Jack Straw has said it will be ""open-minded"" to review the Freedom of Information Act.",1
"England boss Roy Hodgson says he has been ""shocked"" by Hodgson's tense",1
Is it snowing in India's tropical southern city of Bangalore? Is it snowing in India's tropical southern city?,0
"Accrington Stanley stunned League One promotion hopefuls Bradford with victory at Valley Parade, in the FA Cup first round.",1
Housing charity Shelter revealed that 59% of a typical London family's income is spent on rents.,1
Ein riesiges Eis- und Schnee sculpture festival hat in Japan begonnen. In Japan gibt es ein grosses Eis- und Schnee,0
Niloofar Howe is a renowned internet security researcher working in the field of Internet security.,1
"Der Vizepräsident Venezuelas Nicolas Maduro hat die venezolanische Premierminister Nicolas Maduro gegeben, die die",0
"Aguero says City's recent comments on the club's form have been ""stupid"".",1
Christian Wade scored two tries as leaders Wasps moved five points clear at the top of the premiership with a bonus point win,0
"RB Leipzig hat sich beim RB Leipzig identisch mit den Bundesligaführern Bayern München gestellt, nachdem Timo Wer",0
"Wetwang, Cockermouth and Bell End were just some of the place names deemed too rude",1
"Highland Council has pledged to increase access to technology in schools, the Highland Council has said.",1
Gritting lorries and snowploughs have been out and about on Lincolnshire's roads - in preparation for the start,0
China faces a ban from international weightlifting competition after three athletes failed doping tests.,1
"Sussex appointed former player James Anyon as head coach of their women's side, as well as a former player James Anyon.",0
Steve Borthwick war doppelt gebucht. Steve Borthwick war mit zwei Doppelbuch.,0
the rights of women is to be recorded as a hate crime in a bid to tackle sexist abuse.,0
Dix men charged in connection with collision between a quad bike and a sports car. four people were killed from west Yorkshire.,0
satirical magazine published cartoons of Prophet Muhammad in obscene cartoons.,0
"Police have ruled out any involvement in the incident, and said they were investigating the incident.",1
"amputee football is played all over the world but it is in its infancy in Scotland, where organisers are trying",0
"Police have recovered a body from a river in the town of Dumfries, near Dumfries.",1
"Da die UK Labour Party sagt, dass sie ""deeply concerned"" about die Lage in Tibet im Zusammenhang mit Menschenrechts in Tibet ist,",0
Arsene Wenger has challenged Arsenal's players to take responsibility for the club's future.,1
A record-breaking attempt to travers the Pacific Ocean using a solar powered plane has been aborted.,0
"Dame Judi Dench says she has no plans to retire from acting, despite failing eyesight which has left her unable to read",0
", the leading eating disorder charity in the UK has called for the sale of laxatives to be more strictly regulated.",0
"Politians haben erklärt, dass sie treffen sich mit Michelin Management in wenigen Tagen, um zu sehen, wie sie die Auswirkungen des",0
Mark Selby made the most of a tentative start by Marco Fu to build 5-3 lead in the opening session of the World Championship semi-,1
Aberdeen City Council has said it will take over the role if it does not take over the role.,1
"A cat found ""feasting"" in a dog food warehouse is being reunited with owner.",1
"Der Anbieter ist verantwortlich für die Übertragung, die die Übertragung, die Übertragung, die Übertragung, die Übertragung, die",0
"Tesla said it would not recall its semi-autonomous cars, and would not recall its semi-autonomous cars.",1
"O'Donnell is undergoing a heart attack in the US, according to her health official.",1
"Phil Mickelson's 63, the joint-lowest round in major history, gave him the lead on eight under after day one",1
Sale Sharks will sign former Wales scrum-half Mike Phillips from Racing 92 on a deal starting from next season.,0
"winger Liam Williams is out of the Scarlets' Pro12 trip to Zebre, where he will miss out on the",0
"friends, family and colleagues have sent best wishes to actress Carrie Fisher, who is in intensive care after suffering a heart attack during",0
Duke of Kent a părăsit l'hôpital après l'obtention d'un traitement for hip dislocated.,0
Renault Renault hat Renault Renault Renault hat Renault Renault Renault hat Renault Renault Renault hat Renault Renault Renault Renault hat Renault Renault Renault Renault,0
Sir Bruce Forsyth is to return to Strictly Come Dancing for a special Children In Need edition of the show.,0
"Australia beat Australia to reach a final-Test decider in Sydney on Saturday, the first Test in Melbourne.",1
"Britain's migrant movement is to be stopped, the report said, as part of a programme to reduce net migration.",1
"Die Zahl der Passagger auf Luton Airport könnte sich auf fast dreifachen, um 30 Millionen aufgrund neuer Vorschläge",0
"Die Premier League hat einen neuen Vertrag mit dem amerikanischen Fernseher NBC Universal geschlossen, der live Spiele für die kommenden sechs",0
Novak Djokovic suffered surprise loss to Croatia's Ivo Karlovic in the Qatar Open quarter-finals in Doha.,0
Ein Abkommen a été signé qui permettra aux femmes des 69 pays les plus pauvres d'avoir des contraceptifs,0
"Turkey has blocked its access to Tor on the Tor network, as part of a crackdown on internet censorship.",1
A woman has admitted murdering two men who were found in ditches in the town of Cambridge.,1
"nearly £1.5m of illegal drugs have been seized in Northern Ireland. the illegal drugs have been confiscated in the last decade,",0
Graham Onions claims five-wicket haul to help Durham have the better of day one against Nottinghamshire.,0
nazi cell in Germany is accused of murders racially motivated by murders.,0
"Bitcoin has failed to develop, and the company will no longer take part in the project, according to a press release.",1
"Bayern Munich hat ihren Weg für ein sechstes Europacup-Titel geschafft, indem es den Premier League-Ein",0
girls in a trip to Legoland. A boy has been arrested in connection with the sexual assault of two six-year-old,0
A £690m cancer treatment contract has been awarded to private firms. It will be awarded to companies whose cancer patients are being treated in,1
"the launch of Pan Am Flight 73 at Karachi airport. Fast 30 years later, six of the crew have spoken to the media",0
BBC News - the world's biggest news service and the world's biggest news service.,1
allowing workers to clock off when they go for a cigarette break have been supported by a Norfolk council.,0
blogger franco-vietnamese dissident blogger has been jailed in Vietnam for three years for attempted subversion,0
Madagascar is the northernmost island in the world and the northernmost island of Mauritius is the northernmost island of the world.,1
"BBC Radio 4 is a radio station based in London, UK. It broadcasts a series of news stories on BBC Radio 4'",1
"Eddie Redmayne will play Lili Elbe, one of the first people to undergo sex reassignment surgery.",0
Birmingham City came from two goals down at Barnsley to earn their premier point under Gianfranco Zola.,0
"if you cut your hair, you may not be as good as your last cut. But if you cut your hair, you may not",1
Ein Großhändler auf illegalen Silk Road Website und sein Geschäftspartner wurden verurteilt wegen drugs offen offen offen offen offen offen offen offen offen,0
Taylor Swift's record was deemed to be disqualified from this year's Hottest 100.,1
a rugby player in Swansea. A man will go on trial charged with the manslaughter of a rugby,0
1.2 million people said they will be deployed after an invitation to a girl's birthday party went viral.,1
Cafodd Gwasanaeth Tân ac Achub y Gogledd ei galw,0
Emma Thompson has joined the cast of Disney's live-action take on Beauty and the Beast.,1
"A bomb disposal expert in Dumfries found a homemade device made from three fireworks wrapped in a sock, the court heard",1
Josh Strauss believes Vern Cotter's impending departure will give Scotland a new motivation to have a successful Six,0
"Iran's judicial committee has approved the project, and the city's mayor has said it will be a public park.",1
Sports Direct shares dived 11% after sports Direct's half-year results fell short of expectations.,0
"Dylan Thomas's shortlist for the prize for young writers has been announced, and the prize will be awarded to young writers.",1
Gunmen in Pakistan have wounded the activist who campaigned for girls' education in Swat Valley,1
"Joe Cordina, der Welsh Olympic boxer, confirms he plans to become professional in the ""near future"".",0
BBC Radio 1's Greg James is to be awarded an award for his work with the University of East Anglia.,1
Tim Peake hat die dramati die dramati die dramatische Then die drama der dramati die dramati die,0
South Africa sweeps to nine-wicket win over England in the second Twenty20 to seal a 2-0 series win,1
"African-Americans in Ferguson, Missouri, have tripled the number of African-Americans in the six-member council from one to three",1
Children will be able to perform their own work at this year's Proms.,1
"Baidu, the world's largest internet company, said it would share the technology with its own automakers.",1
"Militant from the Islamic State (IS) group have temporarily overrun a hospital complex, reports say.",0
"Neil McCann said: ""We are not going to be able to play the game. ""We are not going to play the game",1
"French police have taken part in a vigil at Cardiff Bay, where 17 people were killed in the Paris terrorist attacks.",1
Edrington has said it will take over the company following the retirement of chairman Norman Murray.,1
Fifa is investigating Real Madrid's youth transfer policy and has asked the club for information on 51 players.,1
s opposition Labor Party has asked police to investigate whether the government tried to induce the president of the Australian Human Rights Commission (HRC) to,0
"Die Islamische Staatsgruppe (IS) hat bestätigt, dass letzten Monat Abu Mohammed al-Furqan die Leben von einem ihre",0
EastEnders won three awards for best soap - the first of which was in the first season.,1
Sammy Wilson has said he will not be running for DUP leadership in the forthcoming election,1
"stepped in a lift with an armed security contractor who had assault convictions, in another security lapse.",0
"a teenager was stabbed and fired a gunshot, police said. Ten men arrested after a teenager was stabbed",0
"if a party has to pay for it, it will be liable to pay for it.",1
Mark Ronson will headline Camp Bestival 2017 organisers said in a press conference.,0
", reported dead in a bomb blast in southern Nigeria. Unzählige Menschen have been reported killed in a bombing in southern Nigeria",0
Police have appealed for three men to come forward to investigate the rape of a woman in Renfrewshire.,1
Donald Trump has been accused of leaking information about his relationship with Donald Trump to CNN in the wake of the revelation that they would not be joining,1
"China says it is ""seriously concerned"" after US president-elect Donald Trump expressed doubts about continuing the ""One China""",1
Sheffield has been evacuated from the city after a bomb was discovered in a building.,1
"Coronation wards were delayed and missed opportunities were not provided, the coroner said.",1
It's a curious thing to see a group of early whale foetuses - to see beings so small that,1
"Dario Fo, the Italian playwright and actor famous for his cutting political satires, died in Milan at the age of 90",1
Hundreds of people were evacuated from the Royal Opera House after an alarm went off in the city.,1
"William 'Plum' Smith, ehemaliger loyalist paramilitaire et presiding in the Progressive Unionist Party (P",0
BBC Northern Ireland programme programmes BBC Northern Ireland have won three awards at the Celtic Media Festival in the Republic of Ireland.,0
the city of Diyarbakir in the south-east of Turkey. A large explosion has struck a police headquarters in the predominantly Kur,0
Syrian government officials say they have reportedly overrun a hospital complex in the eastern Syrian city of Deir al-Zour.,1
"Phyllis Schlafly was a leading figure in the US conservative movement, and died in Missouri at the age of 92",1
"Alzheimer's disease is causing ""tantalising"" in the brains of people with Alzheimer's.",1
at the University of Aberdeen following reports that protesters had thrown glitter over former MP George Galloway.,0
"Hundreds of people were killed in a car crash in the city of Madrid in the summer of last year, according to police.",1
Irish police say they are investigating an attack on a London bomber who died in the Republic of Ireland.,1
y darllediad byw roedd rhaid i lawer o bobl we,0
Helen Jenkins ist fest fest fest fest fest fest fest fest fest fest fest fest fest fest fest fest fest fest fest fest fest fest fest fest fest fest,0
"Northern Ireland has been accused of allowing abortion rights to be deemed ""incompatible"" with human rights.",1
Ein High Court judge in the Republic of Ireland has ruled the media can report what was said in the parliament under privilege about the country's,0
"North Lanarkshire on Saturday. A boy, nine, is being treated in hospital after being hit by a vehicle in North Lanark",0
"May's end of March deadline for triggering the exit of the UK from the EU fast approaching, much remains undecided,",0
courses at Abertay's computer gaming course have been rated the best in Europe for the third consecutive year in a college,0
A 29-year-old man is being held in custody at Heathrow Airport after an incident in the city of Heathrow.,1
"Israel said it seized a Gaza-bound vessel and diverted it to an Israeli port, military officials say.",1
"the Met office warned. Outbreaks of heavy rain will hit parts of south, mid and west Wales through Monday.",0
"in April fell to its lowest level for nearly eight years, according to surveyors across the UK.",0
US Department of Justice has been accused of stealing Yahoo's accounts from the US government.,1
Arsenal midfielder Granit Xhaka has been interviewed under caution by police after an allegation he sexually abused an,1
"A report on the mishandling of baby ashes at the Shrewsbury Crematorium could lead to new national guidelines, the government",1
A British chef has spent hours melting chocolate buttons to create small ships in commemoration of the Battle of Trafalgar.,1
"NHS 24 will be rolled out in the summer of next year, according to the Scottish government.",1
Aled Davies has improved his own F42 outdoor shot put world record to 16.13m at the IPC Athletics Grand Prix in Arizona.,0
"Wales' rural affairs minister said it would take ""a more ""commercial approach"" to managing public woodlands.",1
have been sentenced to life in prison for killing a man with a samurai sword. Two brothers have been,0
"In einem quantum computer, pure silicon is not enough - only one specific type of silicon atom will do.",0
South Africa secured a 2-0 series win over England in the second Twenty20 to seal a 2-0 series win over South Africa.,0
A man who taunted police on social media posts told them they could be caught on social media is back behind bars.,1
Chris Wood and Souleymane Doukara scored a hat-trick to give Leeds a 2-1 victory in the,1
Carmarthenshire Police have completed the search of a street address in Carmarthenshire,1
"the shark attack in Western Australia last week hat einen Surfer dies, die die police say.",0
"Die Arbeitslosenquote in Großbritannien hat sich in den drei Monaten bis Juni um 4 000 gesenkt,",0
An Garda Sochána (Irish policing) has said it needs more than 500 new recruits,1
Angaben von UK intelligence agencies say they are recruiting more female staff - and targeting women in middle-age and mid-career.,0
South Wales Police are appealing for information on the whereabouts of a man wanted in connection with the murder of a Cardiff teenager.,0
"Ein Top-English player deserves to earn £1m every year, says player's union boss Damian Hopley.",0
"Monarch's airline says its flights are operating as normal following ""negative speculation"" about the company's financial health.",1
". He was cleared of any doping offence by his national Olympic committee. Roman Kreuziger, fünft in last year's",0
Scottish Conservatives voted in favour of Scottish Conservatives in the Scottish Conservative election last week - and the SNP won 32% of the,1
"Undre Greipel gewann die Tour of Britain in Australien, nachdem Mark Cavendish scheut.",0
"Ospreys head coach Steve Tandy says there are some ""question marks"" over the officiating in their 23-25",0
Daniel James has been linked with the option to sign for Swansea City until the end of the season.,1
Hundreds of people were rescued from flooded homes after heavy rain hit the city of Seymour in north-eastern Essex,1
M4's camera system has been upgraded and the M4's camera system has been upgraded.,1
"Sinn Fin leader Gerry Adams said there is ""a need to be open and imaginative"".",1
"South Africa's inductions to the Pro12 will be ""brutal"" and the Pro12 will be ""very difficult"".",1
"government can protect the wages of 13,000 farm workers, based on a ruling by the Supreme Court.",0
a police worker in Australie have been shot and killed in terrorism-linked shootings.,0
"Domino's Pizza has said it is ""excellent"" in its sales results for the year, driven mainly by the growth in its digital sales",1
Kizza Besigye was the doctor's doctor at the time of his appointment as a doctor for president Yoweri Mus,0
Qantas chief executive Alan Joyce has said Australians should support same-sex marriage in the postal vote.,1
A 29-year-old man is being treated for serious injuries in a psychiatric unit in the Falkirk area of,1
"Ein Vorschlag, die sechs Gemeinden abzuschaffen, und eine county-wide council für Oxfordshire zu schaffen, wurde veröffentlicht.",0
"Guy Luzon, head coach of Charlton Athletic, says he is concerned about his future despite a run of eight games without",0
"Nineteen people were killed in a bus carrying Egyptian pilgrims, Egypt's state-run Mena says.",1
"Crewe Alexandra have signed defender Eddie Nolan on a one-year-contract, with the option of a further year",1
"boss Remi Garde, according to Express and Star. Aston Villa's Jack Grealish returned to training and could be in",0
FC and Pompey Supporters' Trust (PST) board member Ashley Brown has urged fans to make a informed choice over,0
Novak Djokovic won his first title since his surprise exit from Wimbledon with a straight-sets win over Kei Nis,0
Peggy O'Hara is the granddaughter of veteran republican Peggy O'Hara,1
"cyclist, 27-year-old Damian Piotrowski, dies in a three-vehicle crash",0
"Belfast Police have said the man who was tortured and raped in the attack was ""going to die"" at the moment.",1
A man who slits his throat while awaiting sentence has admitted taking a kitchen knife into a magistrate's court in,1
will play Richard III in Shakespeare's History plays in the BBC's second series of Shakespeare's History plays.,0
a dog attack on a toddler. Two people have been re-arrested after a toddler suffered serious injuries in,0
Election Watchdog has said there is little evidence of widespread abuse of voters in the polls.,1
Gordon Strachan said the friendly victory against Poland will have no effect on the qualifying campaign either team in the Euro 2016 qualifying.,0
"Horses can tell if people are happy or angry, according to a new experiment.",1
A man has been sentenced to life in prison after killing a rival gang member with an axe during a fight in a,1
"finance secretary John Swinney has submitted a new proposal in talks to establish a ""fiscal framework"" for new devol",0
Benedicic is the first player in the club's history to be recalled from the club's squad after being ruled out,1
"Ein federal judge in Argentinia hat ordonniert die seizure von Vermögensnahmen von fünf Unternehmen, die explo",0
Venezuela says two light aircraft have been shot down after entering the country's airspace over the weekend.,0
"Network Rail glaubt, dass es will take 28 years to meet standards in Welsh Rail, Network Rail says.",0
"Almost 70% of primary and secondary schools in the UK now use tablet computers, according to research.",0
-administered Kashmir celebrates the anniversary of the killing of a militant leader.,0
", Dundee Stars head coach Marc LeFebvre hopes his side will return to play-off finals next year as",0
"Oamenii hat ernst gelassen, nachdem er zu höheren Toxinmen zu hohen Mengen an",0
Stamford Bridge have re-signed midfielder Lucy Staniforth from Liverpool.,1
Asda has been accused of leaking information about customers' payment details and payment details to security firms.,1
Zwei police forces in Yorkshire will merge dog units in fusion to reduce costs..,0
Bailey Gwynne's mother has been charged with the murder of a teenager.,1
Une femme a été portée à l'hôpital suite à un accident de l'hôtel à Cardiff en early,0
A&E's number of people with mental health problems rose by more than half in the last two years.,1
", the names of SS commanders and guards at the Auschwitz death camp in Germany-occupied Poland, have been put online",0
It will be based on the 2017 edition of the Cricket World Series. It will be based on the 2017 edition of the Cricket World Series,1
A 15-year-old girl is being treated in hospital for her injuries in North Tyneside.,1
"Der israelische Premierminister Benjamin Netanyahu hat eine Holocaust-Ausstellung auf dem Gelände des Nazi-Todlagers Auschwitz,",0
"Ein motorcyclist in China, der die Geschwindigkeit von 237 km/h (147mph) auf der Beijing-Ringstraße erreichte",0
"Depuis septembre, les filles ayant rejoint les Brownies and Guides in the UK, ne devront plus",0
"A warning weather warning has been issued for most parts of Scotland, with drivers urged to be aware of a risk of ice and snow",0
A security intelligence company discovered the stolen log-in credentials for up to 47 US government agencies accessible on-line.,0
"Chinese authorities have punished 197 people for spreading rumors online about the stock market crash and fatal explosions in Tianjin, according to",1
Ein tour boat skipper hat einen neuen Tiefpunkt in Loch Ness in Loch Ness auf seiner Schiffsausrüstung,0
Stoke City have signed midfielder Steve Sidwell for free after his release by relegated Fulham.,0
